# PSIBLAST 2.12.0+
# Iteration: 1
# Query: Q5UPT2.1 RecName: Full=Probable uracil-DNA glycosylase; Short=UDG [Acanthamoeba polyphaga mimivirus]
# Database: ../../data/swissprot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 306 hits found
Q5UPT2.1	Q5UPT2.1	100.000	370	0	0	1	370	1	370	0.0	759
Q5UPT2.1	A1SUE5.1	36.441	236	127	3	134	368	3	216	4.00e-39	141
Q5UPT2.1	Q87XE2.1	35.124	242	133	4	130	370	9	227	7.33e-38	138
Q5UPT2.1	Q4ZPC2.1	34.711	242	134	4	130	370	9	227	3.04e-37	137
Q5UPT2.1	Q48ET5.1	34.711	242	134	4	130	370	9	227	3.14e-37	137
Q5UPT2.1	Q7VGS1.1	35.526	228	123	5	146	369	26	233	1.79e-36	135
Q5UPT2.1	Q057V4.1	35.510	245	130	5	129	370	4	223	3.97e-36	134
Q5UPT2.1	Q4KGS0.1	33.471	242	137	4	130	370	9	227	6.62e-36	133
Q5UPT2.1	Q5R080.1	34.454	238	128	5	134	368	3	215	1.15e-35	132
Q5UPT2.1	C3KDS6.1	34.298	242	135	4	130	370	9	227	1.97e-35	132
Q5UPT2.1	B4F058.1	33.613	238	135	3	134	370	7	222	2.28e-35	132
Q5UPT2.1	B9KEK7.1	33.891	239	131	5	134	370	14	227	5.85e-35	131
Q5UPT2.1	B0TXF5.1	33.613	238	135	3	134	370	3	218	6.57e-35	130
Q5UPT2.1	Q3KGL4.1	33.058	242	138	4	130	370	9	227	6.63e-35	130
Q5UPT2.1	A5EVB8.1	34.199	231	124	5	143	370	24	229	1.13e-34	130
Q5UPT2.1	B6EKY3.1	32.203	236	137	3	134	368	5	218	1.24e-34	130
Q5UPT2.1	A5F5R5.1	33.333	237	135	3	134	369	7	221	2.42e-34	129
Q5UPT2.1	Q02HQ1.1	32.773	238	136	4	134	370	14	228	2.94e-34	129
Q5UPT2.1	Q1IWN1.1	33.878	245	124	7	133	370	25	238	3.20e-34	129
Q5UPT2.1	A6VAM7.1	32.773	238	136	4	134	370	14	228	4.56e-34	129
Q5UPT2.1	A5W8H2.1	33.058	242	138	4	130	370	9	227	4.73e-34	128
Q5UPT2.1	Q8A5V6.1	34.956	226	122	5	144	368	19	220	5.89e-34	128
Q5UPT2.1	A1JKI8.1	32.068	237	138	3	134	369	7	221	6.75e-34	128
Q5UPT2.1	Q7P1I1.1	30.041	243	146	4	127	368	8	227	9.11e-34	128
Q5UPT2.1	Q3BNI2.1	33.333	228	123	6	148	370	25	228	1.21e-33	127
Q5UPT2.1	Q5L9D9.1	35.841	226	120	5	144	368	19	220	1.42e-33	127
Q5UPT2.1	Q9U221.1	36.585	205	123	3	122	324	54	253	1.51e-33	129
Q5UPT2.1	B5RKV2.1	34.468	235	129	5	134	366	9	220	1.85e-33	127
